,_id,_is_deleted,_vehicle._congestion_level,_vehicle._current_status,_vehicle._current_stop_sequence,_vehicle._occupancy_status,_vehicle._position._bearing,_vehicle._position._latitude,_vehicle._position._longitude,_vehicle._position._odometer,_vehicle._position._speed,_vehicle._stop_id,_vehicle._timestamp,_vehicle._trip._direction_id,_vehicle._trip._route_id,_vehicle._trip._schedule_relationship,_vehicle._trip._start_date,_vehicle._trip._start_time,_vehicle._trip._trip_id,_vehicle._vehicle._id,_vehicle._vehicle._label,timestamp,start_datetime,timedelta,distancia_al_final
32,85,False,0,1,66,0,0,-3463843,-5835808,50848,2222222.0,207307,1674567192,1.0,100,0.0,20230124,09:03:00,10260-1,19614,46-70,2023-01-24 10:34:00.799920,2023-01-24 09:03:00.000000,0 days 01:31:00.799920,0.0011473518030659
33,47,False,0,2,63,0,0,-3451101,-5851266,51026,0.0,6861103985,1674567280,0.0,99,0.0,20230124,08:45:00,9921-1,8560,103-70,2023-01-24 10:35:01.306879,2023-01-24 08:45:00.000000,0 days 01:50:01.306879,0.0041717235406976
34,47,False,0,2,63,0,0,-3451101,-5851266,51026,0.0,6861103985,1674567310,0.0,99,0.0,20230124,08:45:00,9921-1,8560,103-70,2023-01-24 10:36:01.839168,2023-01-24 08:45:00.000000,0 days 01:51:01.839168,0.0041717235406976
35,76,False,0,2,63,0,0,-3451071,-585129547,76271,1111111.0,6861103985,1674567308,0.0,99,0.0,20230124,08:54:00,9924-1,9921,113-70,2023-01-24 10:36:01.839168,2023-01-24 08:54:00.000000,0 days 01:42:01.839168,0.0044957346374065
36,39,False,0,2,63,0,0,-3451098,-5851269,0,0.0,6861103985,1674567432,0.0,99,0.0,20230124,08:54:00,9924-1,8520,24-70,2023-01-24 10:37:54.230273,2023-01-24 08:54:00.000000,0 days 01:43:54.230273,0.0042033873602099
37,39,False,0,2,63,0,0,-3451099,-5851269,0,0.0,6861103985,1674567488,0.0,99,0.0,20230124,08:54:00,9924-1,8520,24-70,2023-01-24 10:38:54.713135,2023-01-24 08:54:00.000000,0 days 01:44:54.713135,0.0041934056922751
38,39,False,0,2,63,0,0,-3451074,-5851298,51,0.555555,6861103985,1674567550,0.0,99,0.0,20230124,08:54:00,9924-1,8520,24-70,2023-01-24 10:39:55.293829,2023-01-24 08:54:00.000000,0 days 01:45:55.293829,0.0044689461061883
39,2,False,0,2,63,0,0,-3451107,-5851248,50683,5833333.0,6861103985,1674567666,0.0,99,0.0,20230124,08:51:00,9923-1,2240,107-70,2023-01-24 10:41:56.252356,2023-01-24 08:51:00.000000,0 days 01:50:56.252356,0.0041059368358549
40,20,False,0,2,63,0,0,-3451077,-5851293,52547,0.0,6861103985,1674567760,0.0,99,0.0,20230124,09:00:00,9926-1,8493,120-70,2023-01-24 10:42:56.826257,2023-01-24 09:00:00.000000,0 days 01:42:56.826257,0.0044333201215334
41,20,False,0,2,63,0,0,-3451044,-585123138,52618,5277777.0,6861103985,1674567788,0.0,99,0.0,20230124,09:00:00,9926-1,8493,120-70,2023-01-24 10:43:57.411989,2023-01-24 09:00:00.000000,0 days 01:43:57.411989,0.0047372737835149
42,64,False,0,1,66,0,0,-3463829,-5835808,0,0.0,207307,1674567908,1.0,100,0.0,20230124,09:03:00,10260-1,8972,93-70,2023-01-24 10:45:58.329226,2023-01-24 09:03:00.000000,0 days 01:42:58.329226,0.0012309866611795
43,67,False,0,2,62,0,0,-3451034,-58513,76517,1666666.0,6861103987,1674568118,0.0,99,0.0,20230124,09:06:00,9928-1,8978,1970-06-01 00:00:00,2023-01-24 10:48:59.928310,2023-01-24 09:06:00.000000,0 days 01:42:59.928310,0.0048684908647349
44,19,False,0,2,63,0,0,-3451106,-5851277,51267,0.555555,6861103985,1674569318,0.0,99,0.0,20230124,09:12:00,9930-1,8492,119-70,2023-01-24 11:08:50.092253,2023-01-24 09:12:00.000000,0 days 01:56:50.092253,0.0041292383438112
45,21,False,0,2,63,0,0,-3451104,-585126152,52330,0.0,6861103985,1674569292,0.0,99,0.0,20230124,09:24:00,9934-1,8494,1970-04-01 00:00:00,2023-01-24 11:08:50.092253,2023-01-24 09:24:00.000000,0 days 01:44:50.092253,0.004139584880153
46,41,False,0,2,66,0,0,-3463656,-583580856,24340,6944444.0,207307,1674569228,1.0,100,0.0,20230124,09:33:00,10270-1,8521,74-70,2023-01-24 11:08:50.092253,2023-01-24 09:33:00.000000,0 days 01:35:50.092253,0.0026828680772609
47,56,False,0,2,63,0,0,-3451097,-585128,0,0.0,6861103985,1674569318,0.0,99,0.0,20230124,09:12:00,9930-1,8629,35-70,2023-01-24 11:08:50.092253,2023-01-24 09:12:00.000000,0 days 01:56:50.092253,0.0042214311909586
48,19,False,0,2,63,0,0,-3451075,-5851292,51315,0.555555,6861103985,1674569348,0.0,99,0.0,20230124,09:12:00,9930-1,8492,119-70,2023-01-24 11:09:50.622557,2023-01-24 09:12:00.000000,0 days 01:57:50.622557,0.0044520976292069
49,21,False,0,2,63,0,0,-3451104,-585126152,52330,0.0,6861103985,1674569348,0.0,99,0.0,20230124,09:24:00,9934-1,8494,1970-04-01 00:00:00,2023-01-24 11:09:50.622557,2023-01-24 09:24:00.000000,0 days 01:45:50.622557,0.004139584880153
50,49,False,0,2,62,0,0,-3451036,-5851292,52537,3055555.0,6861103987,1674569348,0.0,99,0.0,20230124,09:27:00,9935-1,8575,1970-05-01 00:00:00,2023-01-24 11:09:50.622557,2023-01-24 09:27:00.000000,0 days 01:42:50.622557,0.0048399710019811
51,55,False,0,2,63,0,0,-3451095,-5851282,0,0.0,6861103985,1674569348,0.0,99,0.0,20230124,09:12:00,9930-1,8629,35-70,2023-01-24 11:09:50.622557,2023-01-24 09:12:00.000000,0 days 01:57:50.622557,0.0042431207029722
52,21,False,0,2,63,0,0,-3451104,-585126152,52330,0.0,6861103985,1674569440,0.0,99,0.0,20230124,09:24:00,9934-1,8494,1970-04-01 00:00:00,2023-01-24 11:10:51.099927,2023-01-24 09:24:00.000000,0 days 01:46:51.099927,0.004139584880153
53,55,False,0,2,63,0,0,-3451094,-5851282,0,0.0,6861103985,1674569440,0.0,99,0.0,20230124,09:12:00,9930-1,8629,35-70,2023-01-24 11:10:51.099927,2023-01-24 09:12:00.000000,0 days 01:58:51.099927,0.0042530797429649
54,21,False,0,2,63,0,0,-3451104,-585126,52330,0.0,6861103985,1674569470,0.0,99,0.0,20230124,09:24:00,9934-1,8494,1970-04-01 00:00:00,2023-01-24 11:11:51.567342,2023-01-24 09:24:00.000000,0 days 01:47:51.567342,0.0041389543727845
55,36,False,0,2,65,0,0,-3463442,-5835936,24047,0.0,20853,1674569468,1.0,100,0.0,20230124,09:48:00,10275-1,8515,81-70,2023-01-24 11:11:51.567342,2023-01-24 09:48:00.000000,0 days 01:23:51.567342,0.0046619528268771
